ID,shortName,longName,altName,saintType,feastRank,color,month,day,feastStation,feastInfo,properMass,massExceptions
s827,St. Joseph Calasanctius,,,C,dbl4,white,8,27,,,,
s828,St. Augustine,,,BCD,dbl4,white,8,28,,,,
c828,St. Hermes,,,M,smpl,red,8,28,,,,
s829,Beheading of St. John,Beheading of Saint John the Baptist,,,dbl3,red,8,29,,,,
c829,St. Sabina,,,M,smpl,red,8,29,,,,
s830,St. Rose,Saint Rose of Lima,,V,dbl4,white,8,30,,,,
c830,Ss. Felix & Adauctus,,,MM,smpl,red,8,30,,,,
s831,St. Raymund Nonnatus,,,C,dbl4,white,8,31,,,,
s905,St. Lawrence Justinian,,,BC,dbl5,white,9,5,,,,
b908,BVM Nativity,Nativity of the BVM,,,dbl2,blue,9,8,,,,
o915,,BVM Nativity Octave Day,,,ocd5,blue,9,15,,,,
c908,St. Hadrian,,,M,smpl,red,9,8,,,,
s909,St. Peter Claver,,,C,dbl4,white,9,9,,,,
c909,St. Gorgonius,,,M,smpl,red,9,9,,,,
s910,St. Nicholas Tolentino,Saint Nicholas of Tolentino,,C,dbl4,white,9,10,,,,
c911,Ss. Protus & Hyacinth,,,MM,smpl,red,9,11,,,,
b912,Holy Name BVM,Most Holy Name of the BVM,,,dbl3,blue,9,12,,,,
j914,Holy Cross,Exaltation of the Holy Cross,,,dbl3,red,9,14,,,,
e997,Ember Weds.,,,,emby,purple,9,0,,,,
e998,Ember Fri.,,,,emby,purple,9,0,,,,
e999,Ember Sat.,,,,emby,purple,9,0,,,,
b915,Seven Sorrows,Seven Sorrows of the BVM,,,dbl2,blue,9,15,,,,
c915,St. Nicomedes,,,M,smpl,red,9,15,,,,
s916,Ss. Cornelius & Cyprian,,,BM,dbl5,red,9,16,,,,
c916,Ss. Euphemia et al.,"Saints Euphemia, Lucy, and Geminianus",,MM,smpl,red,9,16,,,,
s917,Stigmata of St. Francis,Impression of the Stigmata of St. Francis,,,dbl4,white,9,17,,,,
s918,St. Joseph Cupertino,Saint Joseph of Cupertino,,C,dbl4,white,9,18,,,,
s919,St. Januarius et al.,Saint Januarius and His Companions,,MM,dbl4,red,9,19,,,,
s920,St. Eustace et al.,Saint Eustace and His Companions,,MM,dbl4,red,9,20,,,,
v920,Vig. St. Matthew,,,S,vgl4,purple,9,20,,,,
s921,St. Matthew,,,SE,dbl2,red,9,21,,,,
s922,St. Thomas Villanova,,,BC,dbl4,white,9,22,,,,
c922,St. Maurice et al.,Saint Maurice and His Companions,,MM,smpl,red,9,22,,,,
s923,St. Linus,,,PM,dbl5,red,9,23,,,,
c923,St. Thecla,,,VM,smpl,red,9,23,,,,
b924,OL Ransom,,,,dbl3,blue,9,24,,,,
c926,Ss. Cyprian & Justina,,,MM,smpl,red,9,26,,,,
s927,Ss. Cosmas & Damian,,,MM,dbl5,red,9,27,,,,
s928,St. Wenceslaus,,,M,dbl5,red,9,28,,,,
s929,Michaelmas,Dedication of Saint Michael the Archangel,,z,dbl1,white,9,29,,,,
cA01,St. Remigius,,,BC,smpl,white,10,1,,,,
sA02,Guardian Angels,Holy Guardian Angels,,z,dbl3,white,10,2,,,,
sA03,St. Thérèse,Saint Thérèse Lisieux,Saint Theresa of the Infant Jesus,V,dbl4,white,10,3,,,,
sA04,St. Francis,Saint Francis of Assisi,,C,dbl3,white,10,4,,,,
cA05,St. Placidus et al.,Saint Placidus and His Companions,,MM,smpl,red,10,5,,,,
sA06,St. Bruno,,,C,dbl4,white,10,6,,,,
bA07,Holy Rosary,Most Holy Rosary of the BVM,,,dbl2,blue,10,7,,,,
cA07,St. Mark,,,PC,smpl,white,10,7,,,,
xA07,Ss. Sergius et al.,"Saints Sergius, Bacchus, Marcellus, and Apuletus",,MM,smpl,red,10,7,,,,
sA08,St. Bridget,,,W,dbl4,white,10,8,,,,
sA09,St. John Leonard,,,C,dbl4,white,10,9,,,,
cA09,Ss. Dionysius et al.,"Saints Dionysius, Rusticus, and Eleutherius",,MM,dbl5,red,10,9,,,,
sA10,St. Francis Borgia,,,C,dbl5,white,10,10,,,,
bA11,BVM Maternity,,,,dbl3,blue,10,11,,,,
sA13,St. Edward,Saint Edward the Confessor,,KC,dbl5,white,10,13,,,,
sA14,St. Callistus,,,PM,dbl4,red,10,14,,,,
sA15,St. Theresa,,,V,dbl4,white,10,15,,,,
sA16,St. Hedwig,,,W,dbl5,white,10,16,,,,
sA17,St. Margaret Mary Alacoque,,,V,dbl4,white,10,17,,,,
sA18,St. Luke,,,E,dbl2,red,10,18,,,,
sA19,St. Peter Alcantara,Saint Peter of Alcantara,,C,dbl4,white,10,19,,,,
sA20,St. John Cantius,,,C,dbl4,white,10,20,,,,
cA21,St. Hilarion,,,A,smpl,white,10,21,,,,
sA21,St. Ursula et al.,Saint Ursula and Her Companions,,VVMM,smp2,red,10,21,,,,
sA24,St. Raphael,Saint Raphael the Archangel,,,dbl3,white,10,24,,,,
cA25,St. Chrysanthus & Daria,,,M,smpl,red,10,25,,,,
cA26,St. Evaristus,,,PM,smpl,red,10,26,,,,
vA27,Vig. Ss. Simon & Jude,,,SS,vgl4,purple,10,27,,,,
sA28,Ss. Simon & Jude,,,SS,dbl2,red,10,28,,,,
vA31,All Hallows' Eve,Vigil of All Saints,,,vgl4,purple,10,31,,,,
jB00,Christ the King,,,,dbl1,gold,11,0,,,,
sB01,All Saints,,,z,dbl1,gold,11,1,,,,
sB02,All Souls,,,z,dbl2,black,11,2,,,,
oB02,,Feria I in the Octave of All Saints,,,oct4,white,11,2,,,,
oB03,,Feria II in the Octave of All Saints,,,oct4,white,11,3,,,,
oB04,,Feria III in the Octave of All Saints,,,oct4,white,11,4,,,,
oB05,,Feria IV in the Octave of All Saints,,,oct4,white,11,5,,,,
oB06,,Feria V in the Octave of All Saints,,,oct4,white,11,6,,,,
oB07,,Feria VI in the Octave of All Saints,,,oct4,white,11,7,,,,
oB08,,Octave Day of All Saints,,,ocd4,white,11,8,,,,
